Timestamp,Latitude,Longitude,Occupancy,Capacity,QueueLength,TrafficCongestion,IsSpecialDay,VehicleTypeWeight
2016-10-04 07:59:00,26.14453614,91.73617216,61,577,1,low,0,1.0
2016-10-04 08:25:00,26.14453614,91.73617216,64,577,1,low,0,1.0
2016-10-04 08:59:00,26.14453614,91.73617216,80,577,2,low,0,1.0
2016-10-04 09:32:00,26.14453614,91.73617216,107,577,2,low,0,1.0
2016-10-04 09:59:00,26.14453614,91.73617216,150,577,2,low,0,0.5
2016-10-04 10:26:00,26.14453614,91.73617216,177,577,3,low,0,1.0
2016-10-04 10:59:00,26.14453614,91.73617216,219,577,6,high,0,1.5
2016-10-04 11:25:00,26.14453614,91.73617216,247,577,5,average,0,1.0
2016-10-04 11:59:00,26.14453614,91.73617216,259,577,5,average,0,1.0
2016-10-04 12:29:00,26.14453614,91.73617216,266,577,8,high,0,0.5
2016-10-04 13:02:00,26.14453614,91.73617216,269,577,7,high,0,1.0
2016-10-04 13:29:00,26.14453614,91.73617216,263,577,7,high,0,1.0
2016-10-04 14:02:00,26.14453614,91.73617216,238,577,5,high,0,1.0
2016-10-04 14:29:00,26.14453614,91.73617216,215,577,3,average,0,1.5
2016-10-04 14:57:00,26.14453614,91.73617216,192,577,3,average,0,0.5
2016-10-04 15:30:00,26.14453614,91.73617216,165,577,2,low,0,1.0
2016-10-04 16:04:00,26.14453614,91.73617216,162,577,1,low,0,0.5
2016-10-04 16:31:00,26.14453614,91.73617216,143,577,2,average,0,1.0
2016-10-05 07:57:00,26.14453614,91.73617216,54,577,1,low,0,1.0
2016-10-05 08:30:00,26.14453614,91.73617216,59,577,1,average,0,1.0
2016-10-05 09:04:00,26.14453614,91.73617216,71,577,2,low,0,1.0
2016-10-05 09:30:00,26.14453614,91.73617216,83,577,2,average,0,1.0
2016-10-05 10:04:00,26.14453614,91.73617216,114,577,3,low,0,1.0
2016-10-05 10:30:00,26.14453614,91.73617216,128,577,4,high,0,1.5
2016-10-05 11:04:00,26.14453614,91.73617216,148,577,4,average,0,0.5
2016-10-05 11:30:00,26.14453614,91.73617216,162,577,4,average,0,1.0
2016-10-05 12:04:00,26.14453614,91.73617216,178,577,6,high,0,1.0
2016-10-05 12:30:00,26.14453614,91.73617216,183,577,7,high,0,1.0
2016-10-05 12:57:00,26.14453614,91.73617216,175,577,7,high,0,1.0
2016-10-05 13:30:00,26.14453614,91.73617216,179,577,6,high,0,1.5
2016-10-05 13:57:00,26.14453614,91.73617216,174,577,4,average,0,1.0
2016-10-05 14:30:00,26.14453614,91.73617216,158,577,5,high,0,1.0
2016-10-05 14:57:00,26.14453614,91.73617216,145,577,3,average,0,1.0
2016-10-05 15:30:00,26.14453614,91.73617216,129,577,2,low,0,1.0
2016-10-05 16:04:00,26.14453614,91.73617216,121,577,2,low,0,1.0
2016-10-05 16:30:00,26.14453614,91.73617216,114,577,1,low,0,0.5
2016-10-06 07:57:00,26.14453614,91.73617216,58,577,1,low,0,1.0
2016-10-06 08:30:00,26.14453614,91.73617216,63,577,1,low,0,1.0
2016-10-06 08:57:00,26.14453614,91.73617216,70,577,1,low,0,1.0
2016-10-06 09:30:00,26.14453614,91.73617216,95,577,2,low,0,1.0
2016-10-06 10:03:00,26.14453614,91.73617216,135,577,3,low,0,1.0
2016-10-06 10:30:00,26.14453614,91.73617216,160,577,3,average,0,1.0
2016-10-06 10:57:00,26.14453614,91.73617216,177,577,3,average,0,1.0
2016-10-06 11:30:00,26.14453614,91.73617216,191,577,4,average,0,1.0
2016-10-06 12:04:00,26.14453614,91.73617216,199,577,7,high,0,1.0
2016-10-06 12:30:00,26.14453614,91.73617216,206,577,7,high,0,1.0
2016-10-06 12:57:00,26.14453614,91.73617216,198,577,5,average,0,1.0
2016-10-06 13:30:00,26.14453614,91.73617216,208,577,7,high,0,0.5
2016-10-06 13:57:00,26.14453614,91.73617216,200,577,5,average,0,1.0
2016-10-06 14:30:00,26.14453614,91.73617216,175,577,3,average,0,1.0
2016-10-06 15:04:00,26.14453614,91.73617216,158,577,2,low,0,1.0
2016-10-06 15:31:00,26.14453614,91.73617216,153,577,2,low,0,0.5
2016-10-06 16:04:00,26.14453614,91.73617216,135,577,1,low,0,0.5
2016-10-06 16:30:00,26.14453614,91.73617216,129,577,2,low,0,1.0
2016-10-07 08:03:00,26.14453614,91.73617216,58,577,2,low,0,1.0
2016-10-07 08:30:00,26.14453614,91.73617216,61,577,2,average,0,1.0
2016-10-07 09:04:00,26.14453614,91.73617216,75,577,1,low,0,1.0
2016-10-07 09:30:00,26.14453614,91.73617216,103,577,2,low,0,1.0
2016-10-07 09:57:00,26.14453614,91.73617216,128,577,2,low,0,0.5
2016-10-07 10:30:00,26.14453614,91.73617216,172,577,5,high,0,1.5
2016-10-07 10:57:00,26.14453614,91.73617216,188,577,3,average,0,1.0
2016-10-07 11:30:00,26.14453614,91.73617216,199,577,4,average,0,0.5
2016-10-07 12:03:00,26.14453614,91.73617216,210,577,7,high,0,1.0
2016-10-07 12:30:00,26.14453614,91.73617216,206,577,7,high,0,0.5
2016-10-07 13:04:00,26.14453614,91.73617216,200,577,7,high,0,1.0
2016-10-07 13:30:00,26.14453614,91.73617216,201,577,7,high,0,1.0
2016-10-07 14:03:00,26.14453614,91.73617216,193,577,3,average,0,0.5
2016-10-07 14:30:00,26.14453614,91.73617216,181,577,4,average,0,1.0
2016-10-07 15:04:00,26.14453614,91.73617216,172,577,2,low,0,1.5
2016-10-07 15:30:00,26.14453614,91.73617216,159,577,2,low,0,1.0
2016-10-07 15:57:00,26.14453614,91.73617216,158,577,2,low,0,1.0
2016-10-07 16:30:00,26.14453614,91.73617216,132,577,2,low,0,1.0
2016-10-08 07:57:00,26.14453614,91.73617216,58,577,1,low,0,1.0
2016-10-08 08:30:00,26.14453614,91.73617216,61,577,2,average,0,1.0
2016-10-08 08:57:00,26.14453614,91.73617216,75,577,1,low,0,1.5
2016-10-08 09:30:00,26.14453614,91.73617216,104,577,2,low,0,1.0
